code|metier|qualification|taux_col17|groupe
BRIQUETEUR_C|Briqueteur-maçon|Compagnon|84.60|metier
BRIQUETEUR_A1|Briqueteur-maçon|Apprenti période 1|53.87|metier
BRIQUETEUR_A2|Briqueteur-maçon|Apprenti période 2|61.32|metier
BRIQUETEUR_A3|Briqueteur-maçon|Apprenti période 3|72.51|metier
CALORIFUGEUR_C|Calorifugeur|Compagnon|83.76|metier
CALORIFUGEUR_A1|Calorifugeur|Apprenti période 1|53.34|metier
CALORIFUGEUR_A2|Calorifugeur|Apprenti période 2|60.70|metier
CALORIFUGEUR_A3|Calorifugeur|Apprenti période 3|71.78|metier
CARRELEUR_C|Carreleur|Compagnon|84.58|metier
CARRELEUR_A1|Carreleur|Apprenti période 1|53.83|metier
CARRELEUR_A2|Carreleur|Apprenti période 2|61.30|metier
CARRELEUR_A3|Carreleur|Apprenti période 3|72.47|metier
CHARPENTIER_C|Charpentier-menuisier|Compagnon|84.64|metier
CHARPENTIER_A1|Charpentier-menuisier|Apprenti période 1|53.87|metier
CHARPENTIER_A2|Charpentier-menuisier|Apprenti période 2|61.33|metier
CHARPENTIER_A3|Charpentier-menuisier|Apprenti période 3|72.54|metier
CHAUDRONNIER_C|Chaudronnier|Compagnon|83.97|metier
CHAUDRONNIER_A1|Chaudronnier|Apprenti période 1|53.54|metier
CHAUDRONNIER_A2|Chaudronnier|Apprenti période 2|60.91|metier
CHAUDRONNIER_A3|Chaudronnier|Apprenti période 3|71.97|metier
CIMENTIER_C|Cimentier-applicateur|Compagnon|82.91|metier
CIMENTIER_A1|Cimentier-applicateur|Apprenti période 1|60.16|metier
CIMENTIER_A2|Cimentier-applicateur|Apprenti période 2|71.08|metier
COUVREUR_C|Couvreur|Compagnon|87.82|metier
COUVREUR_A1|Couvreur|Apprenti période 1|63.73|metier
COUVREUR_A2|Couvreur|Apprenti période 2|75.34|metier
ELECTRICIEN_C|Électricien|Compagnon|86.02|metier
ELECTRICIEN_A1|Électricien|Apprenti période 1|47.46|metier
ELECTRICIEN_A2|Électricien|Apprenti période 2|54.98|metier
ELECTRICIEN_A3|Électricien|Apprenti période 3|62.50|metier
ELECTRICIEN_A4|Électricien|Apprenti période 4|73.79|metier
FERBLANTIER_C|Ferblantier|Compagnon|85.12|metier
FERBLANTIER_A1|Ferblantier|Apprenti période 1|54.14|metier
FERBLANTIER_A2|Ferblantier|Apprenti période 2|61.66|metier
FERBLANTIER_A3|Ferblantier|Apprenti période 3|72.93|metier
ARMATURE_C|Poseur d'armature du béton|Compagnon|87.29|metier
ARMATURE_A|Poseur d'armature du béton|Apprenti|74.83|metier
FRIGORISTE_HALO|Frigoriste (halocarbure)|Compagnon|87.66|metier
FRIGORISTE_C|Frigoriste|Compagnon|83.97|metier
FRIGORISTE_A1|Frigoriste|Apprenti période 1|46.23|metier
FRIGORISTE_A2|Frigoriste|Apprenti période 2|53.60|metier
