metier|qualification|taux_salaire|salaire_brut|cout_horaire_mo|total_avant_admin
Briqueteur-maçon|Compagnon|49.57|56.01|84.60|100.83
Briqueteur-maçon|Apprenti période 1|29.74|33.61|53.87|70.10
Briqueteur-maçon|Apprenti période 2|34.70|39.21|61.32|77.55
Briqueteur-maçon|Apprenti période 3|42.13|47.61|72.51|88.74
Calorifugeur|Compagnon|50.79|57.39|83.76|99.99
Calorifugeur|Apprenti période 1|30.47|34.43|53.34|69.57
Calorifugeur|Apprenti période 2|35.55|40.17|60.70|76.93
Calorifugeur|Apprenti période 3|43.17|48.78|71.78|88.01
Carreleur|Compagnon|50.12|56.64|84.58|100.81
Carreleur|Apprenti période 1|30.07|33.98|53.83|70.06
Carreleur|Apprenti période 2|35.08|39.64|61.30|77.53
Carreleur|Apprenti période 3|42.60|48.14|72.47|88.70
Charpentier-menuisier|Compagnon|50.16|56.68|84.64|100.87
Charpentier-menuisier|Apprenti période 1|30.10|34.01|53.87|70.10
Charpentier-menuisier|Apprenti période 2|35.11|39.67|61.33|77.56
Charpentier-menuisier|Apprenti période 3|42.64|48.18|72.54|88.77
Chaudronnier|Compagnon|50.79|57.39|83.97|100.20
Chaudronnier|Apprenti période 1|30.47|34.43|53.54|69.77
Chaudronnier|Apprenti période 2|35.55|40.17|60.91|77.14
Chaudronnier|Apprenti période 3|43.17|48.78|71.97|88.20
Cimentier-applicateur|Compagnon|48.55|54.86|82.91|99.14
Cimentier-applicateur|Apprenti période 1|33.99|38.41|60.16|76.39
Cimentier-applicateur|Apprenti période 2|41.27|46.64|71.08|87.31
Couvreur|Compagnon|51.20|57.86|87.82|104.05
Couvreur|Apprenti période 1|35.84|40.50|63.73|79.96
Couvreur|Apprenti période 2|43.52|49.18|75.34|91.57
Électricien|Compagnon|50.79|57.39|86.02|102.25
Électricien|Apprenti période 1|25.40|28.70|47.46|63.69
Électricien|Apprenti période 2|30.47|34.43|54.98|71.21
Électricien|Apprenti période 3|35.55|40.17|62.50|78.73
Électricien|Apprenti période 4|43.17|48.78|73.79|90.02
Ferblantier|Compagnon|50.79|57.39|85.12|101.35
Ferblantier|Apprenti période 1|30.47|34.43|54.14|70.37
Ferblantier|Apprenti période 2|35.55|40.17|61.66|77.89
Ferblantier|Apprenti période 3|43.17|48.78|72.93|89.16
Poseur d'armature du béton|Compagnon|51.31|57.98|87.29|103.52
Poseur d'armature du béton|Apprenti|43.61|49.28|74.83|91.06
Frigoriste (halocarbure)|Compagnon|53.33|60.26|87.66|103.89
Frigoriste|Compagnon|50.79|57.39|83.97|100.20
Frigoriste|Apprenti période 1|25.40|28.70|46.23|62.46
Frigoriste|Apprenti période 2|30.47|34.43|53.60|69.83
Frigoriste|Apprenti période 3|35.55|40.17|60.95|77.18
Frigoriste|Apprenti période 4|43.17|48.78|72.01|88.24
Grutier - classe A|Compagnon|50.79|57.39|83.77|100.00
Grutier - classe A|Apprenti période 1|35.55|40.17|60.58|76.81
Grutier - classe A|Apprenti période 2|43.17|48.78|71.72|87.95
Grutier - classe B|Compagnon|48.58|54.90|80.55|96.78
Grutier - classe B|Apprenti période 1|34.01|38.43|58.34|74.57
Grutier - classe B|Apprenti période 2|41.29|46.66|68.98|85.21
Installateur de sys. de sécurité|Compagnon|41.66|47.08|70.45|86.68
Installateur de sys. de sécurité|Apprenti période 1|24.99|28.24|45.51|61.74
Installateur de sys. de sécurité|Apprenti période 2|29.16|32.95|51.52|67.75
Installateur de sys. de sécurité|Apprenti période 3|35.41|40.01|60.53|76.76
Mécanicien d'ascenseurs|Compagnon|56.70|64.07|91.93|108.16
